BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
–,–,–,–,–,–,–,–,–,–,–,–,9,11,11,13,12
–,–,–,–,–,–,–,–,4,94,274,400,501,517,596,652,702
–,–,–,–,–,–,–,–,2,36,113,144,171,228,323,345,402
–,5,11,12,15,35,62,213,1.678,15.219,103.321,307.318,524.514,723.605,931.698,1.125.719,1.271.645
–,–,–,–,–,–,–,–,–,1,1,3,12,12,14,16,17
,,,,,,,,,,,,,,,,
–,–,–,–,–,–,–,2,42,76,212,377,446,562,726,795,868
–,–,–,–,–,–,–,1,2,88,312,523,639,717,740,749,756
–,–,–,1,1,1,1,200,1.085,2.815,10.836,19.691,29.647,38.496,46.134,49.906,53.081
–,–,–,–,–,–,–,2,18,92,269,662,1.007,1.286,1.516,1.857,2.098
–,–,–,–,–,–,–,4,51,163,331,531,675,915,1.300,1.618,1.965
–,–,–,–,–,–,4,36,898,1.326,2.201,4.369,6.174,7.384,8.575,9.523,10.429
–,–,10,14,16,16,129,1.112,4.838,21.463,52.547,95.391,123.016,141.672,155.193,163.175,169.575
–,–,–,–,–,–,1,10,205,306,640,1.097,1.309,1.528,1.643,1.700,1.739
–,–,–,–,–,–,–,3,11,92,155,181,184,185,187,187,187
–,–,1,1,1,1,6,30,521,1.218,1.218,1.927,2.974,3.783,4.576,5.254,5.962
–,3,6,11,12,12,100,1.116,5.380,14.296,37.145,69.607,94.382,111.463,123.279,129.708,137.073
–,–,–,–,–,–,–,1,1,10,56,103,129,133,141,144,146
–,–,–,–,–,–,7,73,331,530,1.061,1.735,2.114,2.235,2.506,2.626,2.716
–,–,–,–,–,–,–,–,–,2,10,11,11,11,11,11,11
–,–,–,–,–,–,–,–,1,1,39,154,209,239,245,252,252
–,–,–,–,–,–,1,21,169,784,2.415,5.111,9.655,15.251,19.262,21.506,22.996
–,–,–,–,–,–,1,55,138,473,963,1.486,1.701,1.771,1.792,1.799,1.801
–,–,–,–,–,–,–,–,–,2,32,127,226,297,308,320,330
–,–,2,3,3,124,1.689,7.375,24.747,53.578,92.472,128.948,156.363,178.972,197.675,210.717,219.070
–,–,–,–,–,–,–,–,2,12,61,155,198,245,280,291,293
–,–,–,–,–,–,–,–,–,–,91,145,362,535,763,851,870
–,–,–,–,–,–,7,11,49,206,657,1.182,1.600,1.871,2.030,2.096,2.187
–,–,–,–,–,–,–,3,31,124,305,533,651,727,812,879,939
–,–,–,–,–,–,–,1,7,36,61,78,80,82,83,83,83
–,–,–,–,–,–,1,1,14,105,394,811,1.062,1.326,1.449,1.410,1.479
–,–,–,–,–,–,1,2,38,670,1.831,2.804,3.281,3.550,3.723,3.824,3.886
–,–,–,–,–,–,–,3,21,73,139,234,378,427,448,477,496
–,–,–,–,–,–,–,1,23,80,231,864,1.662,2.472,3.408,4.121,4.927
