KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
9,24. Feb. 2020,—,14,—,—,—,—,2,—,—,—,—,—,—,—,—,—,16,.0—,
9,25. Feb. 2020,1,14,—,—,—,—,2,—,—,1,—,—,—,—,—,—,18,.0002,
9,26. Feb. 2020,3,14,—,—,—,—,2,—,—,2,—,—,—,—,—,—,21,.0003,
9,27. Feb. 2020,6,14,—,—,—,—,2,—,—,4,—,—,—,—,—,—,26,.0005,
9,28. Feb. 2020,10,15,—,—,—,—,2,—,—,25,—,—,—,—,1,—,53,.0027,
9,29. Feb. 2020,14,15,—,—,—,—,5,—,—,30,1,—,—,—,1,—,66,.0013,
9,1. März 2020,15,19,—,—,1,1,10,—,1,66,2,—,—,—,2,—,117,.0051,
39,21. Sep. 2020,47.107,64.919,13.109,4.090,2.219,7.165,17.637,1.105,18.900,65.232,10.116,3.234,6.692,2.453,4.421,3.938,272.337,.0922,[203]
39,22. Sep. 2020,47.353,65.331,13.257,4.101,2.223,7.230,17.757,1.123,18.964,65.753,10.183,3.234(av),6.774,2.457,4.460,3.958,274.158,1.821,[204]
39,23. Sep. 2020,47.590,65.746,13.374,4.116,2.250,7.291,17.870,1.131,19.137,66.191,10.230,3.252,6.816,2.470,4.498,3.965,275.927,1.769,[205]
39,24. Sep. 2020,47.883,66.192,13.573,4.150,2.262,7.369,18.035,1.136,19.315,66.680,10.282,3.262,6.887,2.497,4.540,4.007,278.070,2.143,[206]
39,25. Sep. 2020,48.135,66.557,13.811,4.178,2.280,7.431,18.221,1.144,19.443,67.278,10.381,3.270,6.942,2.525,4.603,4.024,280.223,2.153,[207]
39,26. Sep. 2020,48.467,67.005,13.970,4.203,2.320,7.550,18.396,1.151,19.748,67.903,10.439,3.288,7.052,2.536,4.656,4.046,282.730,2.507,[208]
39,27. Sep. 2020,48.467(aw),67.255(ax),14.113,4.214,2.366,7.638,18.607,1.151(aw),19.772,68.395,10.483,3.295,7.095,2.569,4.671,4.049,284.140,1.411,[209]
40,28. Sep. 2020,48.900,67.356,14.196,4.217,2.372,7.690,18.644,1.151,19.772,68.720,10.554,3.295,7.122,2.603,4.686,4.054,285.332,1.192,[210]
40,29. Sep. 2020,49.208,67.763,14.327,4.251,2.385,7.750,18.788,1.168,20.026,69.284,10.630,3.297,7.151,2.613,4.724,4.056,287.421,2.089,[211]
40,30. Sep. 2020,49.421,67.996,14.500,4.258,2.435,7.837,18.945,1.180,20.162,69.822,10.698,3.297(ay),7.202,2.619,4.772,4.075,289.219,1.798,[212]
40,1. Okt. 2020,49.707,68.482,14.788,4.300,2.471,7.896,19.089,1.195,20.290,70.580,10.740,3.315,7.288,2.654,4.821,4.106,291.722,2.503,[213]
40,2. Okt. 2020,50.105,68.853,15.032,4.326,2.511,7.984,19.324,1.203,20.491,71.357,10.863,3.338,7.349,2.677,4.848,4.134,294.395,2.673,[214]
40,3. Okt. 2020,50.240,69.186,15.371,4.369,2.557,8.064,19.616,1.220,20.777,72.063,10.975,3.380,7.391,2.693,4.898,4.158,296.958,2.563,[215]
40,4. Okt. 2020,50.763,69.486,15.574,4.393,2.598,8.176,19.788,1.220(az),20.954,72.581,11.015,3.380(az),7.459,2.736,4.914,4.200,299.237,2.279,[216]
41,5. Okt. 2020,50.934,69.631,15.648,4.421,2.619,8.241,19.978,1.220,21.075,72.995,11.086,3.380,7.502,2.746,4.938,4.205,300.619,1.382,[217]
41,6. Okt. 2020,51.191,70.006,15.949,4.447,2.632,8.339,20.013,1.293,21.284,73.842,11.215,3.449,7.533,2.764,4.978,4.223,303.258,2.639,[218]
41,7. Okt. 2020,51.579,70.381,16.237,4.483,2.702,8.451,20.355,1.304,21.456,74.615,11.308,3.489,7.679,2.774,5.032,4.241,306.086,2.828,[219]
41,8. Okt. 2020,52.231,71.034,16.615,4.561,2.805,8.544,20.662,1.332,21.743,75.671,11.499,3.499,7.797,2.815,5.076,4.260,310.144,4.058,[220]
41,9. Okt. 2020,52.814,71.759,17.112,4.603,2.880,8.669,21.092,1.344,22.142,76.796,11.602,3.551,7.987,2.832,5.155,4.322,314.660,4.516,[221]
41,10. Okt. 2020,53.344,72.402,17.555,4.692,2.880,8.814,21.586,1.373,22.490,78.218,11.808,3.586,8.203,2.858,5.209,4.363,319.381,4.721,[222]
41,11. Okt. 2020,53.868,72.843,17.828,4.740,3.058,8.912,21.911,1.373,22.662,79.179,11.904,3.673,8.340,2.903,5.235,4.435,322.864,3.483,[223]
KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
