Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Belgien,–,–,–,1,1,,1,200,1.085,2.815,10.836,19.691,29.647,38.496,46.134,49.906,53.081
BosnienundHerzegowina,–,–,–,–,–,,–,2,18,92,269,662,1.007,1.286,1.516,1.857,2.098
Bulgarien,–,–,–,–,–,,–,4,51,163,331,531,675,915,1.300,1.618,1.965
Dnemark,–,–,–,–,–,,4,36,898,1.326,2.201,4.369,6.174,7.384,8.575,9.523,10.429
Deutschland,–,–,10,14,16,,129,1.112,4.838,21.463,52.547,95.391,123.016,141.672,155.193,163.175,169.575
Estland,–,–,–,–,–,,1,10,205,306,640,1.097,1.309,1.528,1.643,1.700,1.739
Frer,–,–,–,–,–,,–,3,11,92,155,181,184,185,187,187,187
Finnland,–,–,1,1,1,,6,30,521,1.218,1.218,1.927,2.974,3.783,4.576,5.254,5.962
Frankreich,–,3,6,11,12,,100,1.116,5.380,14.296,37.145,69.607,94.382,111.463,123.279,129.708,137.073
Gibraltar,–,–,–,–,–,,–,1,1,10,56,103,129,133,141,144,146
Griechenland,–,–,–,–,–,,7,73,331,530,1.061,1.735,2.114,2.235,2.506,2.626,2.716
Grnland,–,–,–,–,–,,–,–,–,2,10,11,11,11,11,11,11
Guernsey,–,–,–,–,–,,–,–,1,1,39,154,209,239,245,252,252
Irland,–,–,–,–,–,,1,21,169,784,2.415,5.111,9.655,15.251,19.262,21.506,22.996
Island,–,–,–,–,–,,1,55,138,473,963,1.486,1.701,1.771,1.792,1.799,1.801
IsleofMan,–,–,–,–,–,,–,–,–,2,32,127,226,297,308,320,330
Italien,–,–,2,3,3,,1.689,7.375,24.747,53.578,92.472,128.948,156.363,178.972,197.675,210.717,219.070
Jersey,–,–,–,–,–,,–,–,2,12,61,155,198,245,280,291,293
Kosovo,–,–,–,–,–,,–,–,–,–,91,145,362,535,763,851,870
Kroatien,–,–,–,–,–,,7,11,49,206,657,1.182,1.600,1.871,2.030,2.096,2.187
Lettland,–,–,–,–,–,,–,3,31,124,305,533,651,727,812,879,939
Liechtenstein,–,–,–,–,–,,–,1,7,36,61,78,80,82,83,83,83
Litauen,–,–,–,–,–,,1,1,14,105,394,811,1.062,1.326,1.449,1.410,1.479
Luxemburg,–,–,–,–,–,,1,2,38,670,1.831,2.804,3.281,3.550,3.723,3.824,3.886
Malta,–,–,–,–,–,,–,3,21,73,139,234,378,427,448,477,496
RepublikMoldau,–,–,–,–,–,,–,1,23,80,231,864,1.662,2.472,3.408,4.121,4.927
Monaco,–,–,–,–,–,,1,1,9,18,19,37,54,98,68,95,96
Montenegro,–,–,–,–,–,,–,–,6,14,82,203,267,308,321,322,325
Niederland,–,–,–,–,–,,13,265,1.135,3.632,9.762,17.851,25.587,32.655,37.845,40.571,42.627
Nordmazedonien,–,–,–,–,–,,1,3,13,85,241,555,828,1.207,1.386,1.511,1.642
Norwegen,–,–,–,–,–,,19,169,1.077,1.926,3.845,5.640,6.415,7.068,7.505,7.809,8.099
oesterre,–,–,–,–,–,,10,112,959,3.024,8.291,11.983,13.937,14.710,15.189,15.597,15.787
Polen,–,–,–,–,–,,–,11,150,536,1.638,4.102,6.674,9.287,11.617,13.693,15.996
Portugal,–,–,–,–,–,,–,30,245,1.280,5.170,11.278,16.585,20.206,23.864,25.282,27.581
Rumnien,–,–,–,–,–,,3,15,158,367,1.452,3.864,6.300,8.746,11.036,13.163,15.362
Russland,–,–,2,2,2,,2,7,63,306,1.534,5.389,18.328,42.853,87.147,145.268,221.344
SanMarino,–,–,–,–,–,,1,37,92,151,228,266,356,461,538,582,637
Schweden,–,–,1,1,1,,14,203,992,1.746,3.447,6.830,10.483,14.385,18.640,22.317,26.322
Schweiz,–,–,–,–,–,,24,332,2.200,6.077,13.152,21.065,25.220,27.658,28.978,29.822,30.222
Serbien,–,–,–,–,–,,–,1,41,173,659,1.908,3.630,6.318,8.042,9.464,10.114
Slowakei,–,–,–,–,–,,–,5,61,178,295,485,742,1.161,1.379,1.408,1.457
Slowenien,–,–,–,–,–,,–,16,219,381,691,997,1.205,1.330,1.407,1.439,1.457
Spanien,–,–,1,2,2,,45,589,7.753,24.926,72.248,130.759,166.019,195.944,207.634,217.466,224.390
Tschechien,–,–,–,–,–,,3,32,298,995,2.663,4.587,5.991,6.787,7.404,7.781,8.123
Ukraine,–,–,–,–,–,,–,1,3,47,418,1.319,3.102,5.710,9.009,12.331,15.648
Ungarn,–,–,–,–,–,,–,9,39,131,408,744,1.458,1.984,2.583,3.035,3.284
Vatikanstadt,–,–,–,–,–,,–,1,1,1,4,7,8,8,9,11,12
VereinigtesKnigreich,–,–,2,4,9,,36,277,1.395,5.018,17.093,47.810,84.283,120.071,152.844,186.603,219.187
Weissrussl,–,–,–,–,–,,1,6,36,76,94,562,2.578,4.779,10.463,17.489,23.906
zypernrep,–,–,–,–,–,,–,–,21,84,179,446,633,767,817,872,898
,,,,,,,,,,,,,,,,,
agypten,–,–,–,–,1,,2,55,126,285,576,1.173,2.065,3.144,4.534,6.465,9.400
Angola,–,–,–,–,–,,–,–,–,2,2,14,19,19,26,35,45
